"session","created","modified","ended","expired","time_0b_start","plan_bev","mc_bev_make","mc_bev_audi","mc_bev_bmw","mc_bev_cadillac","mc_bev_chevrolet","mc_bev_fiat","mc_bev_ford","mc_bev_genesis","mc_bev_gmc","mc_bev_honda","mc_bev_hyundai","mc_bev_jaguar","mc_bev_kia","mc_bev_lexus","mc_bev_lucid","mc_bev_mazda","mc_bev_mercedes_benz","mc_bev_mini","mc_bev_mitsubishi","mc_bev_nissan","mc_bev_polestar","mc_bev_porsche","mc_bev_rivian","mc_bev_subaru","mc_bev_tesla","mc_bev_toyota","mc_bev_vin_fast","mc_bev_volkswagen","mc_bev_volvo","mc_bev_year","user_model","user_bev","time_0b_end"
"YuWd7VVDbCmFRxsl8jYFLHzb53ohWJLU75nrxQm656tTSmP3azcx9t7Dr4rMaoew","2024-03-08 20:12:08","2024-03-08 20:12:20","2024-03-08 20:12:20","","2024-03-08 20:12:08","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-08 20:12:20"
"xnVoTIxmhlh7rYpIyFP8-GYND1bb_El6IgPK-Kr9zivKOhQ6b50LrorqyWBr9mQZ","2024-03-08 20:18:49","","","","2024-03-08 20:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6fdPqf_O8Wzm6nS2_RlObGolv0XZs58UhAgJ1Y017D2c-myO3SC00bf08-Qk9OWW","2024-03-08 20:33:32","2024-03-08 20:33:39","2024-03-08 20:33:40","","2024-03-08 20:33:32","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-08 20:33:40"
"3eFT37Go_W9sXVnyyHlNXd7XQ_GU0Xr0UgpA9ApCHn3Q7jLt9_1tycK5O5yhA9xM","2024-03-08 21:13:04","2024-03-08 21:13:11","2024-03-08 21:13:12","","2024-03-08 21:13:04","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-08 21:13:12"
"jhrzB7oTd-N7mqpkM-EcQdiU3ScKzFszLNHTGVZ5sOvPd5jH6bsZJ_yxMXntqR-f","2024-03-08 21:23:41","2024-03-08 21:23:51","2024-03-08 21:23:52","","2024-03-08 21:23:42","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-08 21:23:52"
"pmuOGwfFeA1RD4LL36BrC_yBCAxBmtaUlN346bcAcXwWgIANLN73xJllZyx8V2d5","2024-03-08 22:11:50","2024-03-08 22:11:59","2024-03-08 22:12:00","","2024-03-08 22:11:50","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-08 22:12:00"
"sFiWKB925b_CmEJDzc5MP2NfX5FR0x5ruuUxcWxsHnVIMo1v8h1uzF3nfy6WvQzW","2024-03-08 22:13:34","2024-03-08 22:13:41","2024-03-08 22:13:42","","2024-03-08 22:13:34","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-08 22:13:42"
"dhjMiRPEHOyKsDlKWBUQzfsrmBpH1tM4J7nUw7UXVJ3I9b38T5rE3-cs7PBfnx-5","2024-03-08 23:56:45","2024-03-08 23:57:10","2024-03-08 23:57:11","","2024-03-08 23:56:45","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-08 23:57:11"
"KHaJ8Tx1L4HHoZGlF1bERKh8bvniX4EtvVUvOfxYO0yB4EwNErE1jcuGGWZpfRDG","2024-03-09 01:17:09","2024-03-09 01:17:19","2024-03-09 01:17:21","","2024-03-09 01:17:10","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-09 01:17:20"
"KX7Knfg2B0CwdyEaiPRY_pG4O6oupzjutWIXUndVqWCej4LVpmFfLQHoaAJpf3iT","2024-03-09 01:32:38","2024-03-09 01:33:38","2024-03-09 01:33:38","","2024-03-09 01:32:38","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-09 01:33:38"
"XV433OKOY4BWT6vsUf-vT4Lb3fZvo2P3uGkLoNF1VAS2V8CeSOy5L8ggEYYj_rIe","2024-03-09 01:48:03","2024-03-09 01:48:22","2024-03-09 01:48:22","","2024-03-09 01:48:03","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-09 01:48:22"
"z_Dm3H1fv2Pd5UdS1l3cjMIddocd6yRlLhC93CdGGSrSgMc9YzbFBtldM1TMqVxe","2024-03-09 02:24:26","2024-03-09 02:24:34","2024-03-09 02:24:35","","2024-03-09 02:24:26","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-09 02:24:35"
"HlQ_euql19HGCU88hU680XsQHJmgbUqzAiqUjq-521oQAzmPq94hnO-QzX8lLg7o","2024-03-09 02:38:01","2024-03-09 02:38:27","2024-03-09 02:38:27","","2024-03-09 02:38:01","yes","audi","e_tron_gt","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023","e_tron_gt","audi_e_tron_gt","2024-03-09 02:38:27"
"V2xoNa1QCaz_r2TTpxyFuIzzyiS0Na0X-r2TiWLrFeHL3UCr-bX_Iz3SlQgLkknA","2024-03-09 06:05:22","2024-03-09 06:05:36","2024-03-09 06:05:36","","2024-03-09 06:05:22","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-09 06:05:36"
"bRgEm-yf4btAElJANrGwhKttqG3tFsBNgA-5FvEUw2cyWBwFtEd8qTDEfdWBVisl","2024-03-09 06:06:17","2024-03-09 06:06:27","2024-03-09 06:06:28","","2024-03-09 06:06:17","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-09 06:06:28"
"1uxmdn9gfBHg6u6zI-q8ydBOAYZATUg-Wpoa2CwmpUNQbwZhdkYh2Bf2g5V78miq","2024-03-09 06:33:56","2024-03-09 06:34:25","2024-03-09 06:34:26","","2024-03-09 06:33:56","yes","porsche","","","","","","","","","","","","","","","","","","","","","taycan","","","","","","","","2024","taycan","porsche_taycan","2024-03-09 06:34:26"
"ooyGbZEVnnpf-2QC38St9mQaXzn6l8tP02zqAWXRoTbMPH2Scr-KE6jY-MNMyg5v","2024-03-09 06:42:42","2024-03-09 06:43:00","2024-03-09 06:43:01","","2024-03-09 06:42:42","yes","chevrolet","","","","blazer_ev","","","","","","","","","","","","","","","","","","","","","","","","","2023","blazer_ev","chevrolet_blazer_ev","2024-03-09 06:43:01"
"lc4GShUlU7zCD-R50RlgvwHypgeCBDsEXhkdmIeldK8Wq7cTEOHENDfM9DgdKKrP","2024-03-09 15:59:01","2024-03-09 15:59:12","2024-03-09 15:59:13","","2024-03-09 15:59:01","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-09 15:59:13"
"nJd4gwKjflRqgiLTQ5pfOTMMHBqWHc_fpmzI6mRVR0aU1N6LumUnjRXNkvvFVF-Z","2024-03-09 19:32:26","","","","2024-03-09 19:32:26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nnSDZYK1HRWoAR-h4rXby0tbMrEZXjtaZmjJX7S2Bd_xqa5KxmqD-Owkhu7gnhH6","2024-03-09 19:56:56","2024-03-09 19:57:06","2024-03-09 19:57:06","","2024-03-09 19:56:56","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-09 19:57:06"
