obs_id,alt_id,enrollment_cash,occurrence_cash,monthly_occurrence,lower_bound,guaranteed_threshold,no_choice
1,1,50,1,1,0,40,0
1,2,0,0,0,0,0,1
2,1,300,1,1,0,40,0
2,2,0,0,0,0,0,1
3,1,0,2,1,0,40,0
3,2,0,0,0,0,0,1
4,1,0,20,4,0,40,0
4,2,0,0,0,0,0,1
5,1,0,1,1,20,40,0
5,2,0,0,0,0,0,1
6,1,0,1,1,40,80,0
6,2,0,0,0,0,0,1
