make_snake,make,model_snake,model,engine_aspiration,is_bev
toyota,Toyota,crown,Crown,Naturally Aspirated,No
toyota,Toyota,crown,Crown,Turbocharged,No
toyota,Toyota,echo,ECHO,Naturally Aspirated,No
toyota,Toyota,fj_cruiser,FJ Cruiser,Naturally Aspirated,No
toyota,Toyota,gr_corolla,GR Corolla,Turbocharged,No
toyota,Toyota,gr_supra,GR Supra,Turbocharged,No
toyota,Toyota,gr_86,GR86,Naturally Aspirated,No
toyota,Toyota,grand_highlander,Grand Highlander,Turbocharged,No
toyota,Toyota,grand_highlander_hybrid,Grand Highlander Hybrid,Naturally Aspirated,No
toyota,Toyota,grand_highlander_hybrid,Grand Highlander Hybrid,Turbocharged,No
toyota,Toyota,highlander,Highlander,Turbocharged,No
toyota,Toyota,highlander,Highlander,Naturally Aspirated,No
toyota,Toyota,highlander_hybrid,Highlander Hybrid,Naturally Aspirated,No
toyota,Toyota,land_cruiser,Land Cruiser,Naturally Aspirated,No
toyota,Toyota,matrix,Matrix,Naturally Aspirated,No
toyota,Toyota,mirai,Mirai,Naturally Aspirated,No
toyota,Toyota,mr_2,MR2,Naturally Aspirated,No
toyota,Toyota,mr_2,MR2,Turbocharged,No
toyota,Toyota,mr_2_spyder,MR2 Spyder,Naturally Aspirated,No
toyota,Toyota,paseo,Paseo,Naturally Aspirated,No
toyota,Toyota,pickup,Pickup,Naturally Aspirated,No
toyota,Toyota,previa,Previa,Naturally Aspirated,No
toyota,Toyota,previa,Previa,Supercharged,No
toyota,Toyota,prius,Prius,Naturally Aspirated,No
toyota,Toyota,prius_c,Prius c,Naturally Aspirated,No
toyota,Toyota,prius_plug_in,Prius Plug-in,Naturally Aspirated,No
toyota,Toyota,prius_prime,Prius Prime,Naturally Aspirated,No
toyota,Toyota,prius_v,Prius v,Naturally Aspirated,No
toyota,Toyota,rav_4,RAV4,Naturally Aspirated,No
toyota,Toyota,rav_4_ev,RAV4 EV,Electric Motor,Yes
toyota,Toyota,rav_4_hybrid,RAV4 Hybrid,Naturally Aspirated,No
toyota,Toyota,rav_4_prime,RAV4 Prime,Naturally Aspirated,No
toyota,Toyota,sequoia,Sequoia,Twin-Turbo,No
toyota,Toyota,sequoia,Sequoia,Naturally Aspirated,No
toyota,Toyota,sienna,Sienna,Naturally Aspirated,No
toyota,Toyota,supra,Supra,Naturally Aspirated,No
toyota,Toyota,supra,Supra,Twin-Turbo,No
toyota,Toyota,supra,Supra,Turbocharged,No
toyota,Toyota,t_100,T100,Naturally Aspirated,No
toyota,Toyota,tacoma,Tacoma,Naturally Aspirated,No
toyota,Toyota,tercel,Tercel,Naturally Aspirated,No
toyota,Toyota,tundra,Tundra,Twin-Turbo,No
toyota,Toyota,tundra,Tundra,Naturally Aspirated,No
toyota,Toyota,venza,Venza,Naturally Aspirated,No
toyota,Toyota,yaris,Yaris,Naturally Aspirated,No
toyota,Toyota,yaris_hatchback,Yaris Hatchback,Naturally Aspirated,No
toyota,Toyota,yaris_i_a,Yaris iA,Naturally Aspirated,No
vin_fast,VinFast,vf_8,VF 8,Electric Motor,Yes
volkswagen,Volkswagen,arteon,Arteon,Turbocharged,No
volkswagen,Volkswagen,atlas,Atlas,Turbocharged,No
volkswagen,Volkswagen,atlas,Atlas,Naturally Aspirated,No
volkswagen,Volkswagen,atlas_cross_sport,Atlas Cross Sport,Turbocharged,No
volkswagen,Volkswagen,atlas_cross_sport,Atlas Cross Sport,Naturally Aspirated,No
volkswagen,Volkswagen,beetle,Beetle,Turbocharged,No
volkswagen,Volkswagen,beetle,Beetle,Naturally Aspirated,No
volkswagen,Volkswagen,beetle_convertible,Beetle Convertible,Turbocharged,No
volkswagen,Volkswagen,beetle_convertible,Beetle Convertible,Naturally Aspirated,No
volkswagen,Volkswagen,cabrio,Cabrio,Naturally Aspirated,No
volkswagen,Volkswagen,cabriolet,Cabriolet,Naturally Aspirated,No
volkswagen,Volkswagen,cc,CC,Turbocharged,No
volkswagen,Volkswagen,cc,CC,Naturally Aspirated,No
volkswagen,Volkswagen,corrado,Corrado,Naturally Aspirated,No
volkswagen,Volkswagen,corrado,Corrado,Supercharged,No
volkswagen,Volkswagen,e_golf,e-Golf,Electric Motor,Yes
volkswagen,Volkswagen,eos,Eos,Turbocharged,No
volkswagen,Volkswagen,eos,Eos,Naturally Aspirated,No
volkswagen,Volkswagen,euro_van,EuroVan,Naturally Aspirated,No
volkswagen,Volkswagen,fox,Fox,Naturally Aspirated,No
volkswagen,Volkswagen,gli,GLI,Turbocharged,No
volkswagen,Volkswagen,golf,Golf,Turbocharged,No
volkswagen,Volkswagen,golf,Golf,Naturally Aspirated,No
volkswagen,Volkswagen,golf,Golf,Turbodiesel,No
volkswagen,Volkswagen,golf_alltrack,Golf Alltrack,Turbocharged,No
volkswagen,Volkswagen,golf_gti,Golf GTI,Turbocharged,No
volkswagen,Volkswagen,golf_r,Golf R,Turbocharged,No
volkswagen,Volkswagen,golf_sport_wagen,Golf SportWagen,Turbocharged,No
volkswagen,Volkswagen,gti,GTI,Turbocharged,No
volkswagen,Volkswagen,gti,GTI,Naturally Aspirated,No
volkswagen,Volkswagen,id_4,ID.4,Electric Motor,Yes
volkswagen,Volkswagen,jetta,Jetta,Turbocharged,No
volkswagen,Volkswagen,jetta,Jetta,Naturally Aspirated,No
volkswagen,Volkswagen,jetta,Jetta,Turbodiesel,No
volkswagen,Volkswagen,jetta_gli,Jetta GLI,Turbocharged,No
volkswagen,Volkswagen,jetta_hybrid,Jetta Hybrid,Turbocharged,No
volkswagen,Volkswagen,jetta_sport_wagen,Jetta SportWagen,Naturally Aspirated,No
volkswagen,Volkswagen,jetta_sport_wagen,Jetta SportWagen,Turbocharged,No
volkswagen,Volkswagen,new_beetle,New Beetle,Naturally Aspirated,No
volkswagen,Volkswagen,new_beetle,New Beetle,Turbocharged,No
volkswagen,Volkswagen,new_beetle,New Beetle,Turbodiesel,No
volkswagen,Volkswagen,passat,Passat,Turbocharged,No
volkswagen,Volkswagen,passat,Passat,Naturally Aspirated,No
volkswagen,Volkswagen,passat,Passat,Turbodiesel,No
volkswagen,Volkswagen,phaeton,Phaeton,Naturally Aspirated,No
volkswagen,Volkswagen,r_32,R32,Naturally Aspirated,No
volkswagen,Volkswagen,rabbit,Rabbit,Naturally Aspirated,No
volkswagen,Volkswagen,routan,Routan,Naturally Aspirated,No
volkswagen,Volkswagen,taos,Taos,Turbocharged,No
volkswagen,Volkswagen,tiguan,Tiguan,Turbocharged,No
volkswagen,Volkswagen,tiguan_limited,Tiguan Limited,Turbocharged,No
volkswagen,Volkswagen,touareg,Touareg,Naturally Aspirated,No
volkswagen,Volkswagen,touareg,Touareg,Turbocharged,No
volkswagen,Volkswagen,touareg,Touareg,Supercharged,No
volkswagen,Volkswagen,touareg_2,Touareg 2,Turbocharged,No
volkswagen,Volkswagen,touareg_2,Touareg 2,Naturally Aspirated,No
volkswagen,Volkswagen,vanagon,Vanagon,Naturally Aspirated,No
volvo,Volvo,240,240,Naturally Aspirated,No
volvo,Volvo,740,740,Naturally Aspirated,No
volvo,Volvo,740,740,Turbocharged,No
volvo,Volvo,760,760,Naturally Aspirated,No
volvo,Volvo,760,760,Turbocharged,No
volvo,Volvo,780,780,Naturally Aspirated,No
volvo,Volvo,780,780,Turbocharged,No
volvo,Volvo,850,850,Naturally Aspirated,No
volvo,Volvo,850,850,Turbocharged,No
volvo,Volvo,940,940,Naturally Aspirated,No
volvo,Volvo,940,940,Turbocharged,No
volvo,Volvo,960,960,Naturally Aspirated,No
volvo,Volvo,c_30,C30,Turbocharged,No
volvo,Volvo,c_40_recharge,C40 Recharge,Electric Motor,Yes
volvo,Volvo,c_70,C70,Turbocharged,No
volvo,Volvo,coupe,Coupe,Turbocharged,No
volvo,Volvo,s_40,S40,Turbocharged,No
volvo,Volvo,s_40,S40,Naturally Aspirated,No
volvo,Volvo,s_60,S60,Turbocharged,No
volvo,Volvo,s_60,S60,Twincharged,No
volvo,Volvo,s_60,S60,Naturally Aspirated,No
volvo,Volvo,s_60_cross_country,S60 Cross Country,Turbocharged,No
volvo,Volvo,s_70,S70,Turbocharged,No
volvo,Volvo,s_70,S70,Naturally Aspirated,No
volvo,Volvo,s_80,S80,Turbocharged,No
volvo,Volvo,s_80,S80,Naturally Aspirated,No
volvo,Volvo,s_80,S80,Twin-Turbo,No
volvo,Volvo,s_90,S90,Twincharged,No
volvo,Volvo,s_90,S90,Turbocharged,No
volvo,Volvo,s_90,S90,Naturally Aspirated,No
volvo,Volvo,v_40,V40,Turbocharged,No
volvo,Volvo,v_50,V50,Turbocharged,No
volvo,Volvo,v_50,V50,Naturally Aspirated,No
volvo,Volvo,v_60,V60,Turbocharged,No
volvo,Volvo,v_60,V60,Twincharged,No
volvo,Volvo,v_60_cross_country,V60 Cross Country,Turbocharged,No
volvo,Volvo,v_70,V70,Naturally Aspirated,No
volvo,Volvo,v_70,V70,Turbocharged,No
volvo,Volvo,v_90,V90,Turbocharged,No
volvo,Volvo,v_90,V90,Twincharged,No
volvo,Volvo,v_90_cross_country,V90 Cross Country,Twincharged,No
volvo,Volvo,v_90_cross_country,V90 Cross Country,Turbocharged,No
volvo,Volvo,xc,XC,Turbocharged,No
volvo,Volvo,xc_40,XC40,Turbocharged,No
volvo,Volvo,xc_40_recharge,XC40 Recharge,Electric Motor,Yes
volvo,Volvo,xc_60,XC60,Turbocharged,No
volvo,Volvo,xc_60,XC60,Twincharged,No
volvo,Volvo,xc_60,XC60,Naturally Aspirated,No
volvo,Volvo,xc_70,XC70,Turbocharged,No
volvo,Volvo,xc_70,XC70,Naturally Aspirated,No
volvo,Volvo,xc_90,XC90,Turbocharged,No
volvo,Volvo,xc_90,XC90,Twincharged,No
volvo,Volvo,xc_90,XC90,Naturally Aspirated,No
volvo,Volvo,xc_90,XC90,Twin-Turbo,No
