obs_id,alt_id,enrollment_cash,monthly_cash,override_days,override_flag,minimum_threshold,guaranteed_threshold,no_choice
1,1,50,0,0,0,20,60,0
1,2,0,0,0,0,0,0,1
2,1,300,0,0,0,20,60,0
2,2,0,0,0,0,0,0,1
3,1,0,5,0,0,20,60,0
3,2,0,0,0,0,0,0,1
4,1,0,20,0,0,20,60,0
4,2,0,0,0,0,0,0,1
5,1,0,0,1,1,30,70,0
5,2,0,0,0,0,0,0,1
6,1,0,0,5,1,40,80,0
6,2,0,0,0,0,0,0,1
